('206', '地球上的星星', '印度', '2007', ('阿米尔·汗 Aamir Khan', ''))
('207', '疯狂的石头', '中国大陆 香港', '2006', ('宁浩 Hao Ning', ''))
('208', '初恋这件小事', '泰国', '2010', ('', '普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>'))
('209', '青蛇', '香港', '1993', ('徐克 Hark Tsui', ''))
('210', '惊魂记', '美国', '1960', ('Alfred Hitchcock', ''))
('211', '终结者2：审判日', '美国 法国', '1991', ('詹姆斯·卡梅隆 James Cameron', ''))
('212', '源代码', '美国 加拿大', '2011', ('邓肯·琼斯 Duncan Jones', ''))
('213', '爱在午夜降临前', '美国 希腊', '2013', ('理查德·林克莱特 Richard Linklater', ''))
('214', '步履不停', '日本', '2008', ('是枝裕和 Hirokazu Koreeda', ''))
('215', '新龙门客栈', '香港 中国大陆', '1992', ('李惠民 Raymond Lee', ''))
('216', '小萝莉的猴神大叔', '印度', '2015', ('卡比尔·汗 Kabir Khan', ''))
('217', '奇迹男孩', '美国 香港', '2017', ('斯蒂芬·卓博斯基 Stephen Chbosky', ''))
('218', '一次别离', '伊朗 法国', '2011', ('阿斯哈·法哈蒂  Asghar Farhadi', ''))
('219', '追随', '英国', '1998', ('克里斯托弗·诺兰 Christopher Nolan', ''))
('220', '再次出发之纽约遇见你', '美国', '2013', ('约翰·卡尼 John Carney', ''))
('221', '无耻混蛋', '美国 德国', '2009', ('Quentin Tarantino', ''))
('222', '撞车', '美国 德国', '2004', ('保罗·哈吉斯 Paul Haggis', ''))
('223', '东京物语', '日本', '1953', ('小津安二郎 Yasujirô Ozu', ''))
('224', '血钻', '美国 德国', '2006', ('爱德华·兹威克 Edward Zwick', ''))
('225', '城市之光', '美国', '1931', ('Charles Chaplin', ''))
('226', '彗星来的那一夜', '美国 英国', '2013', '詹姆斯·沃德·布柯特 James Ward Byrkit')
('227', '2001太空漫游', '英国 美国', '1968', '斯坦利·库布里克 Stanley Kubrick')
('228', '釜山行', '韩国', '2016', '延尚昊 Sang-ho Yeon')
('229', '梦之安魂曲', '美国', '2000', '达伦·阿伦诺夫斯基 Darren Aronofsky')
('230', '绿里奇迹', '美国', '1999', 'Frank Darabont')
('231', '新世界', '韩国', '2013', '朴勋政 Hoon-jung Park')
('232', '疯狂的麦克斯4：狂暴之路', '澳大利亚 美国', '2015', '乔治·米勒 George Miller')
('233', '聚焦', '美国', '2015', '托马斯·麦卡锡 Thomas McCarthy')
('234', 'E.T. 外星人', '美国', '1982', 'Steven Spielberg')
('235', '末路狂花', '美国 法国', '1991', '雷德利·斯科特 Ridley Scott')
('236', '这个男人来自地球', '美国', '2007', '理查德·沙因克曼 Richard Schenkman')
('237', '黑鹰坠落', '美国', '2001', '雷德利·斯科特 Ridley Scott')
('238', '发条橙', '英国 美国', '1971', 'Stanley Kubrick')
('239', '遗愿清单', '美国', '2007', '罗伯·莱纳 Rob Reiner')
('240', '变脸', '美国', '1997', '吴宇森 John Woo')
('241', '勇闯夺命岛', '美国', '1996', '迈克尔·贝 Michael Bay')
('242', '国王的演讲', '英国 澳大利亚 美国', '2010', '汤姆·霍珀 Tom Hooper')
('243', '我爱你', '韩国', '2011', '秋昌民 Chang-min Choo')
('244', '黄金三镖客', '意大利 西班牙 西德', '1966', 'Sergio Leone')
('245', '千钧一发', '美国', '1997', '安德鲁·尼科尔 Andrew Niccol')
('246', '非常嫌疑犯', '德国 美国', '1995', '布莱恩·辛格 Bryan Singer')
('247', '秒速5厘米', '日本', '2007', '新海诚 Makoto Shinkai')
('248', '驴得水', '中国大陆', '2016', '周申 Shen Zhou / 刘露 Lu Liu')
('249', '四个春天', '中国大陆', '2017', '陆庆屹 Lu Qing Yi')
('250', '卡萨布兰卡', '美国', '1942', '迈克尔·柯蒂兹 Michael Curtiz')
